"Sport","Entry","Contest_Date_EST","Place","Points","Winnings_Non_Ticket","Winnings_Ticket","Contest_Entries","Entry_Fee","Prize_Pool","Places_Paid"
"NFL","NFL $1M Kickoff Million [$1 Million Guaranteed]  (Thu) (1/41)","2015-10-15 20:25:00",858,222.52,"$50.00","$0.00",383333,"$3.00","$1,000,000.00",84950
"NFL","NFL $1M Kickoff Million [$1 Million Guaranteed]  (Thu) (2/41)","2015-10-15 20:25:00",858,222.52,"$50.00","$0.00",383333,"$3.00","$1,000,000.00",84950
"NFL","NFL $1M Kickoff Million [$1 Million Guaranteed]  (Thu) (3/41)","2015-10-15 20:25:00",858,222.52,"$50.00","$0.00",383333,"$3.00","$1,000,000.00",84950
"NFL","NFL $1M Kickoff Million [$1 Million Guaranteed]  (Thu) (4/41)","2015-10-15 20:25:00",858,222.52,"$50.00","$0.00",383333,"$3.00","$1,000,000.00",84950
"NFL","NFL $1M Kickoff Million [$1 Million Guaranteed]  (Thu) (5/41)","2015-10-15 20:25:00",858,222.52,"$50.00","$0.00",383333,"$3.00","$1,000,000.00",84950
"NFL","NFL $1M Kickoff Million [$1 Million Guaranteed]  (Thu) (6/41)","2015-10-15 20:25:00",858,222.52,"$50.00","$0.00",383333,"$3.00","$1,000,000.00",84950
"NFL","NFL $1M Kickoff Million [$1 Million Guaranteed]  (Thu) (7/41)","2015-10-15 20:25:00",858,222.52,"$50.00","$0.00",383333,"$3.00","$1,000,000.00",84950
"NFL","NFL $1M Kickoff Million [$1 Million Guaranteed]  (Thu) (8/41)","2015-10-15 20:25:00",858,222.52,"$50.00","$0.00",383333,"$3.00","$1,000,000.00",84950
"NFL","NFL $1M Kickoff Million [$1 Million Guaranteed]  (Thu) (9/41)","2015-10-15 20:25:00",858,222.52,"$50.00","$0.00",383333,"$3.00","$1,000,000.00",84950
"NFL","NFL $1M Kickoff Million [$1 Million Guaranteed]  (Thu) (10/41)","2015-10-15 20:25:00",858,222.52,"$50.00","$0.00",383333,"$3.00","$1,000,000.00",84950
