name,salary,points,position,id
Julio Jones,9200,27.3,WR,456614
Odell Beckham Jr.,8900,19.6,WR,589984
Le'Veon Bell,8500,27.6,RB,543654
Antonio Brown,8300,22.5,WR,406214
Tom Brady,8100,27.7,QB,25347
Demaryius Thomas,7900,17.5,WR,335172
Jamaal Charles,7800,21.2,RB,300346
Aaron Rodgers,7700,23.6,QB,213957
DeAndre Hopkins,7700,25.8,WR,560241
Adrian Peterson,7600,19.6,RB,267443
Julian Edelman,7600,24.3,WR,334733
Rob Gronkowski,7600,21.9,TE,381091
A.J. Green,7600,20.3,WR,458093
Andrew Luck,7600,16.9,QB,461175
Keenan Allen,7600,21.3,WR,557210
Emmanuel Sanders,7500,18.2,WR,324216
Calvin Johnson,7300,13.8,WR,266919
Randall Cobb,7300,17.5,WR,465949
Brandon Marshall,7100,24.0,WR,179701
Matt Forte,7100,18.6,RB,267474
Drew Brees,7000,20.1,QB,25598
Larry Fitzgerald,7000,25.0,WR,246053
Arian Foster,7000,13.2,RB,266729
Devonta Freeman,7000,28.5,RB,592914
Matt Ryan,6900,17.3,QB,216263
Ben Roethlisberger,6900,20.8,QB,246061
Marshawn Lynch,6900,10.0,RB,269221
Eli Manning,6800,20.1,QB,246051
Cam Newton,6700,23.0,QB,380750
Peyton Manning,6600,13.8,QB,24375
Carson Palmer,6600,22.3,QB,184503
Jeremy Maclin,6500,19.2,WR,333818
Russell Wilson,6500,17.3,QB,401534
T.Y. Hilton,6500,13.0,WR,468655
Justin Forsett,6400,15.3,RB,269215
Alshon Jeffery,6400,12.8,WR,504323
Philip Rivers,6300,21.3,QB,246054
Eddie Lacy,6300,9.1,RB,508645
Jordan Matthews,6200,14.3,WR,555648
Jarvis Landry,6200,17.7,WR,589991
Steve Smith Sr.,6100,21.1,WR,25640
DeMarco Murray,6000,15.1,RB,333272
Sam Bradford,6000,16.9,QB,333276
Mark Ingram,6000,16.6,RB,456613
Joe Flacco,5900,17.4,QB,216342
Allen Robinson,5900,17.8,WR,609496
James Jones,5800,18.3,WR,218298
Dion Lewis,5800,20.5,RB,494724
Marcus Mariota,5800,19.5,QB,607843
DeSean Jackson,5700,0.0,WR,300173
Andy Dalton,5700,25.6,QB,322858
Ryan Tannehill,5700,18.2,QB,380960
Brandin Cooks,5700,13.2,WR,607864
Jeremy Hill,5700,10.2,RB,650978
Tyrod Taylor,5600,21.6,QB,399579
Greg Olsen,5500,14.1,TE,230925
Josh McCown,5400,22.9,QB,81059
Jimmy Graham,5400,10.7,TE,295918
LeSean McCoy,5400,12.0,RB,397945
Sammy Watkins,5400,7.6,WR,602118
Alex Smith,5300,16.9,QB,217357
Matthew Stafford,5300,13.1,QB,323205
Teddy Bridgewater,5300,12.0,QB,592195
Karlos Williams,5300,14.8,RB,605426
Jay Cutler,5200,15.5,QB,158918
Golden Tate,5200,10.6,WR,400490
Kendall Wright,5200,14.2,WR,459364
John Brown,5200,13.3,WR,473742
Blake Bortles,5200,20.4,QB,562537
Matt Hasselbeck,5100,15.8,QB,24535
Brian Hoyer,5100,17.5,QB,264725
Chris Ivory,5100,18.9,RB,335112
Pierre Garcon,5100,13.1,WR,399939
Kirk Cousins,5100,14.8,QB,403308
Mike Vick,5000,6.7,QB,25567
Charlie Whitehurst,5000,0.0,QB,156595
Tarvaris Jackson,5000,0.0,QB,157708
Derek Anderson,5000,0.0,QB,159904
Ryan Fitzpatrick,5000,16.0,QB,161355
Dan Orlovsky,5000,5.3,QB,162818
Kellen Clemens,5000,6.5,QB,167415
Shaun Hill,5000,0.0,QB,171596
Matt Moore,5000,0.0,QB,214201
Drew Stanton,5000,-0.1,QB,215910
Matt Schaub,5000,0.0,QB,246140
Luke McCown,5000,2.9,QB,246313
Chad Henne,5000,0.0,QB,264851
Josh Johnson,5000,0.0,QB,273278
Joe Webb,5000,0.0,QB,296439
Mark Sanchez,5000,0.0,QB,297127
Chase Daniel,5000,0.0,QB,300101
Colt McCoy,5000,0.0,QB,306296
Colin Kaepernick,5000,16.5,QB,323273
Scott Tolzien,5000,0.0,QB,332096
Thaddeus Lewis,5000,0.0,QB,334032
Jimmy Clausen,5000,3.6,QB,380026
Ryan Mallett,5000,9.6,QB,380741
Austin Davis,5000,0.0,QB,400943
Landry Jones,5000,0.0,QB,447742
Travis Kelce,5000,14.6,TE,448240
Robert Griffin III,5000,0.0,QB,450794
EJ Manuel,5000,-0.1,QB,461919
Blaine Gabbert,5000,0.0,QB,463393
Andre Ellington,5000,13.0,RB,463495
Sean Renfree,5000,-0.4,QB,463951
Travis Benjamin,5000,19.0,WR,464646
Ryan Nassib,5000,0.0,QB,465591
Matt Barkley,5000,0.0,QB,494493
Zach Mettenberger,5000,-0.5,QB,495747
Aaron Murray,5000,0.0,QB,495748
Brock Osweiler,5000,0.0,QB,496553
Bryce Petty,5000,0.0,QB,503511
AJ McCarron,5000,0.0,QB,508649
David Fales,5000,0.0,QB,512431
Geno Smith,5000,0.0,QB,513856
Allen Hurns,5000,18.6,WR,540997
Garrett Grayson,5000,0.0,QB,541469
Trevor Siemian,5000,0.0,QB,546184
Jimmy Garoppolo,5000,-0.2,QB,555358
Brett Hundley,5000,0.0,QB,590420
Johnny Manziel,5000,13.4,QB,593578
Taylor Heinicke,5000,0.0,QB,599113
Donte Moncrief,5000,14.6,WR,607351
Frank Gore,4900,12.4,RB,157341
Eric Decker,4900,16.7,WR,298955
Tyler Eifert,4900,17.6,TE,508968
Martellus Bennett,4800,12.7,TE,302238
Thomas Rawls,4800,9.1,RB,605730
T.J. Yeldon,4800,12.1,RB,651103
Danny Woodhead,4700,15.1,RB,337490
Antonio Gates,4600,30.2,TE,234249
Chris Johnson,4600,13.5,RB,268484
Ronnie Hillman,4600,8.1,RB,512366
Carlos Hyde,4600,14.5,RB,543825
Giovani Bernard,4600,14.7,RB,546076
Melvin Gordon,4600,9.3,RB,606516
Victor Cruz,4500,0.0,WR,248251
Mike Wallace,4500,12.3,WR,339270
Knile Davis,4500,2.2,RB,495184
C.J. Anderson,4500,6.1,RB,607659
Breshad Perriman,4500,0.0,WR,652808
Duke Johnson Jr.,4500,11.3,RB,691583
Gary Barnidge,4400,17.1,TE,273753
LeGarrette Blount,4400,12.0,RB,450778
Rueben Randle,4400,11.1,WR,498977
Jordan Reed,4400,14.2,TE,508876
Andre Johnson,4300,7.6,WR,184505
Anquan Boldin,4300,12.2,WR,184556
Rashad Jennings,4300,10.4,RB,269058
Kamar Aiken,4300,8.9,WR,400317
Charles Clay,4300,12.6,TE,400516
Lamar Miller,4300,8.0,RB,508924
Javorius Allen,4300,3.0,RB,598989
Davante Adams,4300,6.1,WR,611417
Leonard Hankerson,4200,11.7,WR,398112
Torrey Smith,4200,8.9,WR,399548
Shane Vereen,4200,11.4,RB,401726
David Johnson,4200,13.4,RB,552409
Rishard Matthews,4200,17.2,WR,557389
Isaiah Crowell,4200,10.9,RB,606971
Doug Baldwin,4100,12.4,WR,399777
Marques Colston,4000,7.6,WR,162990
DeAngelo Williams,4000,10.2,RB,216526
Percy Harvin,4000,10.0,WR,329777
Julius Thomas,4000,4.0,TE,550870
Marquess Wilson,4000,8.9,WR,560213
Ameer Abdullah,4000,8.7,RB,590796
Martavis Bryant,4000,0.0,WR,602091
Tevin Coleman,4000,5.8,RB,696080
Charcandrick West,4000,1.5,RB,752129
Jonathan Stewart,3900,7.3,RB,296086
Lorenzo Taliaferro,3900,6.2,RB,701522
Seahawks,3800,12.8,DST,361
Darren Sproles,3800,10.3,RB,164505
