name,salary,points,position,id
Seth Russell,9400,42.3,QB,695392
Luke Falk,9200,33.3,QB,749541
Matt Johnson,8900,36.3,QB,603282
Greg Ward Jr.,8800,41.2,QB,741292
Baker Mayfield,8700,32.9,QB,748070
Corey Coleman,8600,41.0,WR,695370
Patrick Mahomes II,8300,36.6,QB,839031
Marquise Williams,8200,27.0,QB,592506
Derrick Henry,8200,26.9,RB,732145
Roger Lewis,8000,32.1,WR,822756
Deshaun Watson,8000,24.0,QB,828743
Alex Collins,7500,20.2,RB,744420
Tajae Sharpe,7200,27.1,WR,703270
Anu Solomon,6900,20.3,QB,751291
Shock Linwood,6800,24.0,RB,695384
Jakeem Grant,6700,25.1,WR,605325
Connor Cook,6700,18.2,QB,606102
Gabe Marks,6700,25.8,WR,652582
Sterling Shepard,6700,18.7,WR,691278
Aaron Burbridge,6700,22.1,WR,696157
Joshua Dobbs,6700,26.9,QB,741262
Nick Wilson,6700,22.1,RB,838137
LJ Scott,6600,14.0,RB,884262
Tyler Boyd,6500,22.4,WR,742387
Peyton Barber,6500,22.7,RB,744436
Taquan Mizzell,6500,22.6,RB,745858
Phillip Ely,6400,16.6,QB,593210
Travis Greene,6400,18.0,RB,603277
Kareem Hunt,6400,16.6,RB,746613
Jake Coker,6300,16.3,QB,605411
Demarcus Ayers,6200,24.8,WR,741290
Joseph Yearby,6200,22.4,RB,820760
Artavis Scott,6200,18.4,WR,828766
Kenneth Farrow,6100,16.1,RB,609745
Tommy Armstrong,6100,24.7,QB,651577
DeAndre Washington,6000,23.8,RB,605335
Thomas Sirk,6000,20.7,QB,650145
Blake Frohnapfel,5900,18.0,QB,609786
Elijah Hood,5900,18.6,RB,823107
Mike Warren,5900,16.4,RB,837990
Jay Lee,5800,18.7,WR,608172
Sam B. Richardson,5800,14.9,QB,618090
Davis Webb,5800,8.0,QB,733638
Wayne Gallman,5800,17.2,RB,733744
Jalen Hurd,5800,21.8,RB,820517
Brad Kaaya,5800,18.5,QB,830889
Qadree Ollison,5800,16.2,RB,832473
Perry Hills,5700,25.8,QB,695785
Jordan Howard,5700,24.7,RB,750802
Dom Williams,5600,21.3,WR,608147
Nate Peterman,5600,12.2,QB,650974
Wes Lunt,5600,15.1,QB,651289
Corey Jones,5600,12.7,WR,694721
Christian Hackenberg,5600,12.0,QB,748555
Jerrod Heard,5600,18.0,QB,835448
Peyton Bender,5600,-0.1,QB,835917
Saquon Barkley,5600,18.6,RB,883302
Michael Brewer,5500,9.9,QB,590689
Jared Baker,5500,14.3,RB,593537
Brandon Allen,5500,18.9,QB,604390
Justin Jackson,5500,15.6,RB,830844
George Bollas,5500,8.0,QB,837249
Jerrard Randall,5400,17.9,QB,604763
Trevor Knight,5400,2.8,QB,691269
Terrell Newby,5400,17.5,RB,728308
Samaje Perine,5400,13.5,RB,820734
Joel Stave,5300,14.5,QB,592794
Joe Hubener,5300,17.9,QB,605237
Matt Johns,5300,16.7,QB,693999
Nate Sudfeld,5300,23.3,QB,696112
Geronimo Allison,5300,21.0,WR,821159
KD Cannon,5300,12.1,WR,837957
Dede Westbrook,5300,13.0,WR,865950
Rashawn Scott,5200,18.4,WR,596422
Dare Ogunbowale,5200,16.3,RB,703015
Calvin Ridley,5200,15.1,WR,884013
Justin Holman,5100,8.8,QB,728544
Allen Lazard,5100,15.1,WR,837958
Ricardo Louis,5000,13.6,WR,693980
Ronnie Moore,5000,15.7,WR,744008
River Cracraft,5000,15.2,WR,749681
Eric Dungey,5000,20.9,QB,883672
Josh Ferguson,4900,17.0,RB,606045
Gehrig Dieter,4900,14.6,WR,652899
Sean White,4900,8.8,QB,835153
Devine Redding,4900,14.0,RB,838211
Ryan Burbrink,4800,13.9,WR,607478
Joe Mixon,4800,15.7,RB,820727
Isaiah Ford,4800,18.3,WR,836936
Travon McMillian,4700,10.1,RB,836944
Ke'Shawn Vaughn,4700,11.4,RB,877807
Alex Erickson,4600,15.5,WR,652520
Colin Reardon,4600,9.4,QB,694175
Drew Morgan,4600,16.8,WR,744431
Ross Comis,4600,3.9,QB,824311
Ricky Jones,4500,18.4,WR,696096
Cody Thomas,4500,0.0,QB,748000
Zach Austin,4500,16.4,WR,748041
Clayton Thorson,4500,13.1,QB,830853
Johnathan Gray,4400,9.8,RB,691344
Brenden Motley,4400,17.6,QB,691659
Tyrone Swoopes,4400,7.4,QB,728022
Joel Lanning,4400,4.5,QB,739452
