name,salary,points,position,id
Alex Ovechkin,9100,6.0,LW,268143
Carey Price,8400,7.5,G,300782
Tyler Seguin,8300,6.7,C,550752
Braden Holtby,8000,4.9,G,483697
John Tavares,8000,5.6,C,504244
Sidney Crosby,7900,1.1,C,296786
Pekka Rinne,7900,7.1,G,297473
Marc-Andre Fleury,7800,5.1,G,229367
Steven Stamkos,7800,3.7,C,456624
Ben Bishop,7700,4.4,G,446721
Vladimir Tarasenko,7700,6.2,RW,550766
Max Pacioretty,7600,4.7,LW,392964
Jamie Benn,7600,5.9,LW,458860
Roberto Luongo,7500,6.1,G,170836
Brian Elliott,7400,5.5,G,379958
Phil Kessel,7300,2.8,RW,329565
Mike Condon,7200,6.0,G,733815
Jake Allen,7100,3.2,G,483706
Sergei Bobrovsky,7100,0.0,G,545448
Evgeni Malkin,7000,3.1,C,268144
Jaroslav Halak,7000,4.4,G,296723
Curtis McElhinney,7000,1.2,G,296906
Steve Mason,6900,-0.2,G,382350
Carter Hutton,6900,7.6,G,542954
Cory Schneider,6800,5.1,G,269241
Karri Ramo,6800,3.1,G,326023
Jonas Hiller,6800,2.3,G,386403
Jeff Zatkoff,6800,0.0,G,448005
Antti Niemi,6800,7.4,G,451384
Philipp Grubauer,6800,0.0,G,555124
Al Montoya,6700,6.4,G,268148
Claude Giroux,6700,2.5,C,329656
Alexander Steen,6600,5.0,LW,172195
Kevin Poulin,6600,0.0,G,522134
Kari Lehtonen,6500,6.7,G,172139
Thomas Greiss,6500,5.9,G,326139
Jakub Voracek,6400,2.8,RW,392948
Keith Kinkaid,6400,1.4,G,594926
Michal Neuvirth,6300,7.7,G,386814
John Carlson,6200,5.1,D,456839
Ryan Johansen,6200,4.0,C,550754
Roman Josi,6100,4.9,D,547488
Tyler Johnson,6100,2.8,C,590939
Tomas Plekanec,6000,4.7,C,172738
Patric Hornqvist,6000,2.3,RW,386808
Anders Lindback,6000,0.2,G,547322
Jean-Francois Berube,6000,2.0,G,547355
Nick Bjugstad,6000,2.8,C,550769
Joni Ortio,6000,0.0,G,593690
Filip Forsberg,6000,3.5,LW,659855
Mike Smith,5900,6.4,G,172862
James Neal,5900,4.2,RW,301959
Kyle Okposo,5900,4.3,RW,329583
Nick Foligno,5900,3.6,LW,329662
