name,salary,points,position,id
Luis Suárez,11100,18.0,F,348217
Robert Lewandowski,10900,23.4,F,464694
Neymar,10800,9.4,F,555042
Alexis Sánchez,10300,18.1,F,487289
Eden Hazard,10100,6.9,M,397817
Lionel Messi,10000,18.5,F,348767
Hulk,9900,29.5,F,471521
Thomas Muller,9800,16.8,F,461803
Diego Costa,9700,9.1,F,377080
Yacine Brahimi,9000,9.8,F,397897
Mario Gotze,8900,14.9,M,505351
Olivier Giroud,8700,9.0,F,440565
Douglas Costa,8600,14.4,M,491458
Gervinho,8600,20.0,F,532928
Franck Ribéry,8500,0.0,M,347692
Arjen Robben,8400,0.0,M,330393
Edin Dzeko,8100,4.8,F,400160
Mesut Ozil,8000,10.6,M,345762
Vincent Aboubakar,8000,15.3,F,546158
Cesc Fàbregas,7700,9.2,M,346178
Pedro,7700,8.6,F,437140
Hakan Çalhanoglu,7700,19.8,F,649015
Artem Dzyuba,7600,11.3,F,349180
Alexandre Lacazette,7500,7.9,F,495900
Chicharito Hernández,7400,6.6,F,375893
Karim Bellarabi,7400,12.4,M,552913
Theo Walcott,7300,11.8,F,346249
Santi Cazorla,7300,7.5,M,348696
Danny,7300,5.0,M,474471
Radamel Falcao,7200,3.8,F,374651
Nabil Fekir,7200,0.0,M,749509
Aaron Ramsey,7000,9.2,M,407838
Francesco Totti,6900,0.0,F,346385
Arturo Vidal,6900,4.8,M,359610
Danny Welbeck,6900,0.0,F,447916
Loïc Remy,6800,3.4,F,347919
Oscar,6800,9.7,M,466295
El Arabi Soudani,6800,16.5,F,619171
Andrés Iniesta,6600,3.0,M,348501
Maxwel Cornet,6600,0.0,F,741200
Munir El Haddadi,6400,15.8,F,788468
Javi García,6300,1.1,M,353635
Willian,6300,10.5,M,388493
Álvaro Negredo,6300,5.0,F,403322
Admir Mehmedi,6300,11.4,F,457113
Cristian Tello,6300,0.0,F,563023
Stefan Kiessling,6200,2.7,F,345569
Daniele De Rossi,6200,0.4,M,346573
Claudio Beauvue,6000,0.9,F,377151
Oleg Shatov,6000,11.3,M,649698
Mathieu Valbuena,5900,11.3,M,347887
