name,salary,points,position,id
Drew Brees,7000,18.6,QB,14
Luke McCown,5000,0.3,QB,70
Matt Ryan,6900,17.9,QB,93
Marques Colston,4000,3.3,WR,371
Eric Weems,3000,0.6,WR,575
Roddy White,3500,7.9,WR,578
Jacob Tamme,2500,8.3,TE,724
Benjamin Watson,2500,7.1,TE,730
Atlanta Falcons,3200,6,DEF,1046
New Orleans Saints,2300,4.3,DEF,1065
C.J. Spiller,3800,8.6,RB,1136
Michael Hoomanawanui,2500,1.2,TE,1192
Tony Moeaki,2500,3.1,TE,1194
Mark Ingram,6000,14,RB,1415
Leonard Hankerson,4200,11.5,WR,1442
Julio Jones,9200,17.5,WR,1446
Patrick DiMarco,3000,1.2,RB,1720
Nick Williams,3000,2.9,WR,2179
Sean Renfree,5000,0.2,QB,2367
Levine Toilolo,2500,1.4,TE,2375
Khiry Robinson,3000,5.1,RB,2386
Josh Hill,2500,3.5,TE,2389
Willie Snead,3300,13.2,WR,2571
Devonta Freeman,7000,19.7,RB,2651
Brandon Coleman,3000,7.7,WR,2668
Brandin Cooks,5700,14.4,WR,2669
Tevin Coleman,4000,4.7,RB,2806
Justin Hardy,3000,0.7,WR,2807
Garrett Grayson,5000,0,QB,2810
Marcus Murphy,3000,0.3,RB,2811
Terron Ward,3200,1.3,RB,2971
Ryan Fitzpatrick,5000,16.3,QB,34
Pierre Garcon,5100,12.3,WR,404
DeSean Jackson,5700,9.5,WR,441
Brandon Marshall,7100,16.9,WR,480
Kellen Davis,2500,2.2,TE,625
New York Jets,3100,9.4,DEF,1042
Washington Redskins,2500,6.5,DEF,1058
Colt McCoy,5000,0.6,QB,1116
Eric Decker,4900,12.4,WR,1146
Andre Roberts,3000,1.1,WR,1166
Anthony McCoy,2500,0.9,TE,1193
Chris Ivory,5100,12,RB,1227
Jeff Cumberland,2500,2.5,TE,1313
Bilal Powell,3500,8.2,RB,1422
Jeremy Kerley,3000,4.3,WR,1447
Darrel Young,3000,1.4,RB,1543
Kirk Cousins,5100,11.5,QB,1805
Robert Griffin III,5000,0.2,QB,1806
Alfred Morris,3600,6.6,RB,1809
Derek Carrier,2500,5.1,TE,1825
Chris Owusu,3000,3.8,WR,1842
Geno Smith,5000,1.1,QB,2146
Tommy Bohanon,3000,1,RB,2147
Chris Thompson,3300,8.1,RB,2176
Jordan Reed,4400,6.7,TE,2181
