name,salary,points,position,id
Russell Westbrook,9400,54.3,PG,329830
Kevin Durant,9000,43.5,SF,329525
Stephen Curry,8600,46.4,PG,338365
Chris Paul,8500,44.9,PG,229598
Blake Griffin,8400,43.9,PF,399725
Pau Gasol,7500,41.1,PF,3494
Paul George,7500,16.7,SF,469218
Kawhi Leonard,7400,35.6,SF,512591
LaMarcus Aldridge,7300,42.4,PF,266554
Eric Bledsoe,7300,36.1,SG,509449
DeAndre Jordan,7100,38.1,C,398142
Greg Monroe,7100,34.7,PF,467468
Gordon Hayward,7100,34.7,SF,477667
Klay Thompson,7000,33.7,SG,457611
Rudy Gobert,7000,28.1,C,739960
Jimmy Butler,6900,37.5,SG,458730
Derrick Favors,6900,33.2,PF,502808
Monta Ellis,6800,32.3,SG,292397
Draymond Green,6800,34.8,PF,468895
Brandon Knight,6800,31.9,PG,553575
Michael Carter-Williams,6800,33.9,PG,609790
Andrew Wiggins,6600,28.2,SF,794503
Derrick Rose,6500,32.0,PG,399612
Markieff Morris,6500,29.5,PF,469085
Tim Duncan,6400,35.9,PF,3155
Serge Ibaka,6400,31.4,PF,456450
Nikola Mirotic,6400,19.9,PF,599809
Karl-Anthony Towns,6200,0.0,C,837030
Joakim Noah,6100,29.1,C,263220
George Hill,6100,31.8,PG,277552
Ricky Rubio,6100,33.5,PG,503689
Tyson Chandler,6000,29.7,C,3493
Enes Kanter,6000,29.3,C,553574
Giannis Antetokounmpo,5900,27.9,SF,739957
Khris Middleton,5800,25.9,SG,512053
Gorgui Dieng,5800,28.1,C,553158
Alec Burks,5700,24.9,SG,512995
Trey Burke,5700,24.8,PG,605708
Danny Green,5600,24.8,SG,295922
J.J. Redick,5400,23.4,SG,172643
P.J. Tucker,5400,22.9,SF,229602
Andrew Bogut,5400,23.8,C,229912
Zach LaVine,5400,19.8,PG,743777
Josh Smith,5200,29.3,PF,253996
Kevin Martin,5100,29.7,SG,66903
Jordan Hill,5100,26.3,PF,329711
Jamal Crawford,5000,23.7,SG,3388
Tony Parker,5000,24.3,PG,3508
Andre Iguodala,5000,20.5,SF,173004
Harrison Barnes,5000,21.4,SF,552336
Myles Turner,5000,0.0,C,843762
David West,4800,27.4,PF,57934
Aaron Brooks,4800,18.9,PG,229726
O.J. Mayo,4800,20.7,SG,395372
Dion Waiters,4800,20.4,SG,552007
Jabari Parker,4800,23.9,PF,756880
Rodney Stuckey,4700,23.1,SG,278110
John Henson,4700,18.9,PF,502871
T.J. Warren,4700,10.8,SF,660085
Manu Ginóbili,4600,22.6,SG,3361
Taj Gibson,4600,22.3,PF,330057
Alex Len,4600,18.9,C,616982
Steven Adams,4600,21.5,C,679478
Paul Pierce,4500,22.4,SF,3235
Ian Mahinmi,4500,14.5,C,292393
Rodney Hood,4500,15.9,SF,603106
Mike Dunleavy,4300,19.9,SF,168066
Shaun Livingston,4300,14.2,PG,253980
C.J. Miles,4300,21.9,SG,292394
Trevor Booker,4300,16.8,PF,330453
Mirza Teletovic,4300,16.8,SF,639311
Shabazz Muhammad,4300,20.9,SF,697722
Archie Goodwin,4300,10.1,SG,699948
Kevin Garnett,4200,19.5,PF,2989
Greivis Vasquez,4200,19.5,PG,332666
Nemanja Bjelica,4200,0.0,PF,550431
Patty Mills,4100,13.2,PG,411562
Nikola Pekovic,4100,25.0,C,456452
Andre Miller,4000,12.4,PG,3313
Matt Bonner,4000,7.1,PF,57782
Nick Collison,4000,12.5,C,57819
Kirk Hinrich,4000,12.1,PG,57820
Josh Powell,4000,0.0,PF,65750
Chuck Hayes,4000,5.8,PF,65844
Ben Gordon,4000,9.3,SG,65900
Ronnie Price,4000,16.0,PG,76032
Tayshaun Prince,4000,15.9,SF,168029
Rasual Butler,4000,13.6,SG,168058
Steve Novak,4000,3.4,SF,172571
Chris Copeland,4000,11.3,PF,174092
Boris Diaw,4000,20.0,PF,214157
Leandro Barbosa,4000,11.5,PG,214163
Toney Douglas,4000,11.8,PG,262894
Anthony Morrow,4000,17.7,SG,263899
Jason Thompson,4000,17.6,PF,278317
Reggie Williams,4000,3.8,SG,278973
Luc Richard Mbah a Moute,4000,21.2,SF,295436
Marcus Landry,4000,0.0,SF,296943
Brandon Rush,4000,3.8,SG,303807
D.J. Augustin,4000,19.4,PG,329524
Wesley Johnson,4000,20.4,SF,329544
Chase Budinger,4000,13.6,SF,329710
Marreese Speights,4000,16.9,C,330421
Sonny Weems,4000,0.0,SG,332695
Kleon Penn,4000,0.0,C,338237
Elijah Millsap,4000,13.8,SG,338887
Marcus Simmons,4000,0.0,SG,395373
Jerryd Bayless,4000,16.8,PG,395391
Jon Leuer,4000,9.9,PF,398090
E'Twaun Moore,4000,5.4,SG,398424
Kyle Singler,4000,12.6,SF,398428
Cole Aldrich,4000,17.3,C,398443
